year_2015,year_2016,year_2017,year_2019,year_2021,sd,mean,cv,mean_cv,change_2016_2017,change_2015_2016
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
0,0,0,0,0,0,0,NA,0,0,0
