Date,dailyCatch,dailyCPUE,cumCPUE,year,DOY,dailyPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
2018-06-07,1,0.08,0.08,2018,157,0.003290826820238585,0,0,0,Inf
2018-06-08,1,0.04,0.13,2018,158,0.0016454134101192926,0,0,0,Inf
2018-06-09,3,0.1,0.23,2018,159,0.004113533525298232,0,0,0,Inf
2018-06-10,8,0.17,0.4,2018,160,0.006993006993006994,1,0.004347826086956522,0.004347826086956522,1.6083916083916086
2018-06-11,6,0.13,0.52,2018,161,0.005347593582887701,4,0.017391304347826087,0.021739130434782608,0.3074866310160428
2018-06-12,23,0.48,1,2018,162,0.01974496092143151,3,0.013043478260869565,0.034782608695652174,1.5137803373097491
2018-06-13,16,0.33,1.33,2018,163,0.013574660633484165,11,0.04782608695652174,0.08260869565217391,0.283833813245578
2018-06-14,3,0.09,1.43,2018,164,0.0037021801727684083,5,0.021739130434782608,0.10434782608695652,0.17030028794734678
2018-06-15,6,0.13,1.55,2018,165,0.005347593582887701,2,0.008695652173913044,0.11304347826086956,0.6149732620320856
2018-06-16,22,0.69,2.24,2018,166,0.028383381324557793,3,0.013043478260869565,0.12608695652173912,2.1760592348827643
2018-06-17,56,1.56,3.79,2018,167,0.06417112299465241,8,0.034782608695652174,0.1608695652173913,1.844919786096257
2018-06-18,27,0.75,4.54,2018,168,0.030851501439736737,20,0.08695652173913043,0.24782608695652172,0.3547922665569725
2018-06-19,53,1.1,5.65,2018,169,0.04524886877828055,12,0.05217391304347826,0.3,0.8672699849170439
2018-06-20,62,1.29,6.94,2018,170,0.05306458247634719,20,0.08695652173913043,0.3869565217391304,0.6102426984779927
2018-06-21,72,1.5,8.44,2018,171,0.06170300287947347,9,0.0391304347826087,0.4260869565217391,1.5768545180309885
2018-06-22,48,1,9.44,2018,172,0.04113533525298231,18,0.0782608695652174,0.5043478260869565,0.5256181726769962
2018-06-23,101,2.1,11.54,2018,173,0.08638420403126286,17,0.07391304347826087,0.5782608695652174,1.168727466305321
2018-06-24,62,1.29,12.84,2018,174,0.05306458247634719,17,0.07391304347826087,0.6521739130434783,0.7179325864446973
2018-06-25,13,0.27,13.11,2018,175,0.011106540518305225,15,0.06521739130434782,0.717391304347826,0.17030028794734678
2018-06-26,80,1.67,14.77,2018,176,0.06869600987248047,6,0.02608695652173913,0.7434782608695653,2.6333470451117513
2018-06-27,54,1.13,15.9,2018,177,0.04648292883587001,18,0.0782608695652174,0.8217391304347826,0.5939485351250057
2018-06-28,39,0.81,16.71,2018,178,0.03331962155491568,18,0.0782608695652174,0.9,0.42575071986836693
2018-06-29,21,0.44,17.15,2018,179,0.01809954751131222,12,0.05217391304347826,0.9521739130434783,0.34690799396681754
2018-06-30,43,0.9,18.04,2018,180,0.03702180172768409,3,0.013043478260869565,0.9652173913043478,2.83833813245578
2018-07-01,70,1.46,19.5,2018,181,0.060057589469354175,8,0.034782608695652174,1,1.7266556972439324
2018-07-02,100,2.08,21.59,2018,182,0.08556149732620322,0,0,1,Inf
2018-07-03,51,1.06,22.65,2018,183,0.04360345536816126,0,0,1,Inf
2018-07-04,18,0.38,23.02,2018,184,0.01563142739613328,0,0,1,Inf
2018-07-05,21,0.44,23.46,2018,185,0.01809954751131222,0,0,1,Inf
2018-07-06,11,0.23,23.69,2018,186,0.009461127108185932,0,0,1,Inf
2018-07-07,4,0.08,23.77,2018,187,0.003290826820238585,0,0,1,Inf
2018-07-08,13,0.27,24.04,2018,188,0.011106540518305225,0,0,1,Inf
2018-07-09,3,0.06,24.11,2018,189,0.0024681201151789387,0,0,1,Inf
2018-07-10,1,0.04,24.15,2018,190,0.0016454134101192926,0,0,1,Inf
2018-07-11,2,0.08,24.23,2018,191,0.003290826820238585,0,0,1,Inf
2018-07-12,2,0.08,24.32,2018,192,0.003290826820238585,0,0,1,Inf
