Date,year,dailyCPUE,DOY,dailyPROP,cumPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
6/2/19,2019,0.2,153,0.005264543,0.005264543,0,0,0,Inf
6/3/19,2019,0.21,154,0.00552777,0.010792314,3,0.012711864,0.012711864,0.434851277
6/4/19,2019,0.21,155,0.00552777,0.016320084,2,0.008474576,0.021186441,0.652276915
6/5/19,2019,0.17,156,0.004474862,0.020794946,0,0,0.021186441,Inf
6/6/19,2019,0.46,157,0.01210845,0.032903396,7,0.029661017,0.050847458,0.408227729
6/7/19,2019,0.35,158,0.009212951,0.042116346,7,0.029661017,0.080508475,0.310608055
6/8/19,2019,0.1,159,0.002632272,0.044748618,2,0.008474576,0.088983051,0.310608055
6/9/19,2019,0.15,160,0.003948407,0.048697026,1,0.004237288,0.093220339,0.931824164
6/10/19,2019,0.13,161,0.003421953,0.052118979,3,0.012711864,0.105932203,0.269193647
6/11/19,2019,0.35,162,0.009212951,0.061331929,5,0.021186441,0.127118644,0.434851277
6/12/19,2019,0.31,163,0.008160042,0.069491972,5,0.021186441,0.148305085,0.385153988
6/13/19,2019,0.38,164,0.010002632,0.079494604,5,0.021186441,0.169491525,0.472124243
6/14/19,2019,0.42,165,0.011055541,0.090550145,9,0.038135593,0.207627119,0.289900851
6/15/19,2019,0.71,166,0.018689129,0.109239273,11,0.046610169,0.254237288,0.400966762
6/16/19,2019,1.38,167,0.036325349,0.145564622,27,0.11440678,0.368644068,0.317510456
6/17/19,2019,1.4,168,0.036851803,0.182416425,19,0.080508475,0.449152542,0.457738186
6/18/19,2019,2.63,169,0.069228744,0.25164517,26,0.110169492,0.559322034,0.628383988
6/19/19,2019,2.38,170,0.062648065,0.314293235,26,0.110169492,0.669491525,0.568651669
6/20/19,2019,1.19,171,0.031324033,0.345617268,21,0.088983051,0.758474576,0.352022462
6/21/19,2019,1.38,172,0.036325349,0.381942616,17,0.072033898,0.830508475,0.504281312
6/22/19,2019,3,173,0.07896815,0.460910766,15,0.063559322,0.894067797,1.242432219
6/23/19,2019,2.96,174,0.077915241,0.538826007,16,0.06779661,0.961864407,1.149249803
6/24/19,2019,1.27,175,0.03342985,0.572255857,9,0.038135593,1,0.876604955
6/25/19,2019,0.5,176,0.013161358,0.585417215,0,0,1,Inf
6/26/19,2019,1.56,177,0.041063438,0.626480653,0,0,1,Inf
6/27/19,2019,3.21,178,0.08449592,0.710976573,0,0,1,Inf
6/28/19,2019,1.65,179,0.043432482,0.754409055,0,0,1,Inf
6/29/19,2019,1.33,180,0.035009213,0.789418268,0,0,1,Inf
6/30/19,2019,2.52,181,0.066333246,0.855751514,0,0,1,Inf
7/1/19,2019,2.1,182,0.055277705,0.911029218,0,0,1,Inf
7/2/19,2019,1.17,183,0.030797578,0.941826797,0,0,1,Inf
7/3/19,2019,0.68,184,0.017899447,0.959726244,0,0,1,Inf
7/4/19,2019,0.33,185,0.008686496,0.96841274,0,0,1,Inf
7/5/19,2019,0.06,186,0.001579363,0.969992103,0,0,1,Inf
7/6/19,2019,0.15,187,0.003948407,0.973940511,0,0,1,Inf
7/7/19,2019,0.27,188,0.007107133,0.981047644,0,0,1,Inf
7/8/19,2019,0.17,189,0.004474862,0.985522506,0,0,1,Inf
7/9/19,2019,0.06,190,0.001579363,0.987101869,0,0,1,Inf
7/10/19,2019,0.08,191,0.002105817,0.989207686,0,0,1,Inf
7/11/19,2019,0.14,192,0.00368518,0.992892867,0,0,1,Inf
7/12/19,2019,0.08,193,0.002105817,0.994998684,0,0,1,Inf
7/13/19,2019,0.19,194,0.005001316,1,0,0,1,Inf
