reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals
7,3,0.708654736,0,0,0,0
151,4,0.707849574,0,0,0,0
156,3,0.705511964,0,0,0,0
205,4,0.70775438,0,0,0,0
206,4,0.706804988,0,0,0,0
210,4,0.706804988,0,0,0,0
259,4,0.706433198,0,0,0,0
358,3,0.706828389,0,0,0,0
360,4,0.70693026,0,0,0,0
127,3,0.707849574,0,0,0,0
1244,3,0.706719267,0,0,0,0
1245,7,0.706969331,0,0,0,0
608,3,0.705630818,0,0,0,0
362,4,0.707002547,0,0,0,0
40,3,0.708654736,0,0,0,0
44,3,0.708344558,0,0,0,0
47,3,0.706932952,0,0,0,0
52,3,0.707585838,0,0,0,0
56,3,0.708362478,0,0,0,0
57,4,0.708555177,0,0,0,0
58,3,0.708362478,0,0,0,0
60,3,0.707018141,0,0,0,0
69,3,0.706972411,0,0,0,0
71,4,0.706969987,0,0,0,0
74,3,0.706972411,0,0,0,0
79,4,0.7071631,0,0,0,0
81,4,0.707849574,0,0,0,0
83,4,0.7071631,0,0,0,0
87,4,0.707148127,0,0,0,0
89,3,0.706998007,0,0,0,0
95,4,0.708282683,0,0,0,0
99,3,0.707193923,0,0,0,0
105,3,0.705093309,0,0,0,0
199,3,0.705653688,0,0,0,0
201,4,0.706903105,0,0,0,0
313,3,0.706828389,0,0,0,0
405,3,0.706808328,0,0,0,0
228,4,0.706326726,0,0,0,0
388,3,0.706808328,0,0,0,0
320,3,0.705697467,0,0,0,0
323,3,0.706871479,0,0,0,0
324,3,0.706871479,0,0,0,0
399,3,0.706816927,0,0,0,0
484,4,0.706514775,0,0,0,0
486,3,0.706753732,0,0,0,0
548,4,0.706514775,0,0,0,0
637,3,0.706451644,0,0,0,0
638,5,0.706962782,0,0,0,0
641,5,0.706954218,0,0,0,0
642,3,0.705630818,0,0,0,0
643,5,0.706962782,0,0,0,0
745,3,0.705709221,0,0,0,0
747,4,0.706077228,0,0,0,0
748,3,0.70509951,0,0,0,0
5599,6,0.705097997,19.216496657126346,5.522608983724765e-4,0.3011635004872026,109.77510781309064
11522,5,0.708202588,46.65305700259398,0.0013407573519661404,0.7311529362517675,266.5077018797176
7473,5,0.707994739,34.83362613948222,0.001001079957944748,0.5459172381943298,198.98866756050936
1642,7,0.707039628,0,0,0,0
1643,3,0.70621078,0,0,0,0
1976,3,0.706096471,0,0,0,0
513,3,0.706805366,0,0,0,0
888,4,0.707127327,0,0,0,0
890,4,0.705878729,0,0,0,0
891,4,0.707127327,0,0,0,0
697,3,0.70681130700000006,0,0,0,0
698,5,0.706970836,0,0,0,0
699,3,0.70509951,0,0,0,0
983,3,0.70462852,0,0,0,0
1075,4,0.707186265,0,0,0,0
1076,7,0.706976329,0,0,0,0
1083,7,0.708652216,0,0,0,0
1084,4,0.707103504,0,0,0,0
1090,6,0.706527896,0,0,0,0
536,3,0.706805366,0,0,0,0
597,3,0.706804172,0,0,0,0
1275,3,0.706694115,0,0,0,0
1277,3,0.706620493,0,0,0,0
1280,6,0.706862598,0,0,0,0
11550,3,0.706691925,0,0,0,0
12321,3,0.707051109,0,0,0,0
12322,3,0.707619073,0,0,0,0
1925,4,0.704685281,12.73096249399407,3.658738067363661e-4,0.19952134344116687,72.72620006021444
