reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,GenLMU
902,3,0.708202205909,0,0,0,lower
978,3,0.712457288803,0,0,0,lower
1003,4,0.71245321383,0,0,0,lower
1030,4,0.71244935288,0,0,0,lower
1383,6,0.709780052343,0,0,0,lower
925,3,0.708218218016,0,0,0,lower
927,4,0.708184113175,0,0,0,lower
935,3,0.712462813981,0,0,0,lower
947,9,0.714111216186,0,0,0,lower
950,3,0.708146882297,0,0,0,lower
951,3,0.708117892464,0,0,0,lower
959,9,0.714081268719,0,0,0,lower
961,3,0.712456972183,0,0,0,lower
971,3,0.708202874146,0,0,0,lower
976,3,0.708229190948,0,0,0,lower
979,3,0.707708163035,0,0,0,lower
984,3,0.708119120176,0,0,0,lower
992,3,0.712458727581,0,0,0,lower
994,3,0.70826036186,0,0,0,lower
996,3,0.712322372521,0,0,0,lower
1007,9,0.714127112253,1.3203064492292824,5.907707933721005e-5,0.03615056043414739,lower
1011,3,0.71245463186,0,0,0,lower
1013,4,0.708246553669,0,0,0,lower
1016,3,0.708257116372,0,0,0,lower
1017,9,0.714147709538,1.2311983456284,5.508993945079154e-5,0.03371074209782374,lower
1019,3,0.708088349265,0,0,0,lower
1021,9,0.714154992216,0,0,0,lower
1023,3,0.70954529401,0,0,0,lower
1026,4,0.708096677344,0,0,0,lower
1027,4,0.708115780276,0,0,0,lower
1031,4,0.712448502092,0,0,0,lower
1034,4,0.707874615148,0,0,0,lower
1038,4,0.712445612132,0,0,0,lower
1048,3,0.705024016385,0,0,0,lower
1049,9,0.714083669777,1.502411265133205,6.72253548100172e-5,0.04113666889141268,lower
1055,4,0.712398677577,0,0,0,lower
1060,3,0.704651120552,0,0,0,lower
1062,3,0.712446357432,0,0,0,lower
1066,3,0.711875076698,0,0,0,lower
1069,3,0.711612235467,0,0,0,lower
1075,9,0.714174271037,0,0,0,lower
1076,4,0.707642941533,0,0,0,lower
1080,3,0.705023369898,0,0,0,lower
1082,4,0.707955937909,0,0,0,lower
1083,3,0.7067711295,0,0,0,lower
1092,4,0.708265235686,0,0,0,lower
1096,3,0.70687973734,0,0,0,lower
1097,4,0.708254558534,0,0,0,lower
1104,3,0.70385727761,0,0,0,lower
1107,3,0.705154811965,0,0,0,lower
1110,3,0.706432962307,0,0,0,lower
1116,4,0.708063675752,0,0,0,lower
1120,4,0.705268401528,0,0,0,lower
1126,5,0.710587710094,2.599732464837579,1.163249646855728e-4,0.07118179695144783,lower
1131,4,0.70830029048,0,0,0,lower
1132,3,0.708090607281,0,0,0,lower
1137,5,0.710856944575,3.4149973917155467,1.5280397362636035e-4,0.0935041025238753,lower
1141,3,0.710194085759,0,0,0,lower
1142,3,0.707106905464,0,0,0,lower
1148,4,0.708284480774,0,0,0,lower
1150,4,0.704687747513,0,0,0,lower
1156,4,0.705257383911,0,0,0,lower
1159,9,0.71417049623,0,0,0,lower
1165,5,0.707593531519,4.443984263654865,1.9884596570023995e-4,0.12167820719609052,lower
1168,3,0.708298833704,0,0,0,lower
1171,5,0.708045340625,3.8203847711673697,1.709430218694096e-4,0.10460378394152532,lower
1174,3,0.703632222295,0,0,0,lower
1177,9,0.713996450568,0,0,0,lower
1178,3,0.705264484101,0,0,0,lower
1179,3,0.703626122971,0,0,0,lower
1180,3,0.70800316619,0,0,0,lower
1185,4,0.709937446958,0,0,0,lower
1187,3,0.708078065937,0,0,0,lower
1190,4,0.703962199933,0,0,0,lower
1193,4,0.706019896489,0,0,0,lower
1201,3,0.70832340615,0,0,0,lower
1202,4,0.707926308655,0,0,0,lower
1203,3,0.708251802543,0,0,0,lower
1208,3,0.707892248729,0,0,0,lower
1211,3,0.7082709386,0,0,0,lower
1214,3,0.708417499333,0,0,0,lower
1216,4,0.707810332898,0,0,0,lower
1220,3,0.708281932238,0,0,0,lower
1221,5,0.71084544266,0,0,0,lower
1225,4,0.706880014511,0,0,0,lower
1228,3,0.708312310777,0,0,0,lower
1236,3,0.707817737209,0,0,0,lower
1242,3,0.708292097484,0,0,0,lower
1249,4,0.708707988795,0,0,0,lower
1251,3,0.705840817441,0,0,0,lower
1254,9,0.71416289116,1.2382068853638366,5.5403536387495196e-5,0.03390263894071876,lower
1257,3,0.708275968828,0,0,0,lower
1258,4,0.708042199169,0,0,0,lower
1259,4,0.708031653315,0,0,0,lower
1260,3,0.708771446118,0,0,0,lower
1264,3,0.707155683189,0,0,0,lower
1265,5,0.710923690847,4.345611188361618,1.9444426488514734e-4,0.11898470993599805,lower
1267,4,0.708769632934,0,0,0,lower
1268,3,0.708304994456,0,0,0,lower
1276,3,0.712268601834,0,0,0,lower
1279,4,0.710793914325,0,0,0,lower
1283,3,0.708767842548,0,0,0,lower
1284,3,0.708562024289,0,0,0,lower
1285,3,0.708070704782,0,0,0,lower
1286,4,0.706496758765,0,0,0,lower
1287,3,0.708313307013,0,0,0,lower
1291,4,0.706696666219,0,0,0,lower
1294,3,0.708266143727,0,0,0,lower
1295,4,0.708310294043,0,0,0,lower
1297,3,0.712052717314,0,0,0,lower
1301,3,0.71126375191,0,0,0,lower
1304,4,0.71082602742,0,0,0,lower
1306,9,0.714149054097,1.1712812803035626,5.2408951848319026e-5,0.032070186988571114,lower
1310,3,0.708486973899,0,0,0,lower
1318,4,0.708233443067,0,0,0,lower
1323,4,0.708003198793,0,0,0,lower
1324,3,0.708263100223,0,0,0,lower
1325,3,0.708024330598,0,0,0,lower
1328,3,0.707651727892,0,0,0,lower
1331,3,0.71089590389,0,0,0,lower
1332,3,0.712276355547,0,0,0,lower
1334,3,0.70825580195,0,0,0,lower
1337,3,0.708062112993,0,0,0,lower
1340,3,0.708299555837,0,0,0,lower
1341,3,0.711138967789,0,0,0,lower
1343,9,0.714146296148,0.8746003663010659,3.9133971706706634e-5,0.023946935513456325,lower
1344,4,0.712134163224,0,0,0,lower
1345,4,0.70852043172,0,0,0,lower
1350,3,0.708030053818,0,0,0,lower
1360,5,0.709589222245,4.738142317771396,2.1200806053880248e-4,0.12973238167864212,lower
1361,6,0.709793346092,3.932487943152739,1.7595907552058924e-4,0.10767321717506166,lower
1371,3,0.708304996963,0,0,0,lower
1374,3,0.708246189238,0,0,0,lower
1381,5,0.710788896793,5.110270278003966,2.2865891689346685e-4,0.13992140584305215,lower
1382,4,0.706528463638,0,0,0,lower
1385,3,0.70808037954,0,0,0,lower
1387,4,0.710976624347,0,0,0,lower
1388,3,0.712203495994,0,0,0,lower
1397,4,0.706986016086,0,0,0,lower
1398,3,0.70863291173,0,0,0,lower
1399,3,0.70830090647,0,0,0,lower
1401,9,0.714152127675,0.8720817268557844,3.9021275247170614e-5,0.023877974078380687,lower
1402,6,0.709763309759,0,0,0,lower
1412,4,0.712166906298,0,0,0,lower
1416,5,0.707989218379,0,0,0,lower
1418,5,0.710449719872,5.686094066706052,2.5442413804289293e-4,0.1556877097076177,lower
